You are a quality evaluator for Nablarch knowledge files used by AI agents in mission-critical enterprise system development.

## Context

Nabledge provides AI agents with Nablarch framework knowledge. The knowledge files are the ONLY information source for the agent.

## Task

Evaluate the following residual findings and determine their user impact.

## File: `libraries-07_TagReference--s1`

### Residual Findings

```json
[
  {
    "category": "hints_missing",
    "severity": "minor",
    "location": "index[s2].hints",
    "description": "Two RST ref targets in s2 are listed without the 'WebView_' prefix — 'ConfirmationPageTag' and 'IgnoreConfirmationTag' — while every other equivalent hint in the same section uses the full 'WebView_Xxx' form (e.g. 'WebView_ForInputPageTag', 'WebView_RadioButtonsTag'). A query using the canonical name 'WebView_ConfirmationPageTag' or 'WebView_IgnoreConfirmationTag' would not match these hints.",
    "source_evidence": "Source RST ref targets: :ref:`WebView_ConfirmationPageTag` and :ref:`WebView_IgnoreConfirmationTag`. All other tags in the same section are represented in hints as 'WebView_RadioButtonsTag', 'WebView_CheckboxesTag', etc."
  }
]
```

### Source (RST)

```
.. _WebView_TagReference:

================================================
タグリファレンス
================================================

---------------------------
カスタムタグ一覧
---------------------------

========================================== ==========================================================================================
タグ                                       | 機能
                                           | radioButtonタグで実現できない複合キーを使用する際に使用する。
:ref:`WebView_CompositeKeyCheckboxTag`     | 複数のHTMLのinputタグ(type=checkbox)出力
                                           | 入力データ復元
                                           | HTMLエスケープ
                                           | checkboxesタグで実現できない複合キーを使用する際に使用する。
:ref:`WebView_FileTag`                     | HTMLのinputタグ(type=file)出力
                                           | HTMLエスケープ
:ref:`WebView_HiddenTag`                   | HTMLタグの出力を行わず、ウィンドウスコープに値を出力する。
:ref:`WebView_PlainHiddenTag`              | HTMLのinputタグ(type=hidden)出力
                                           | 入力データ復元
                                           | HTMLエスケープ
:ref:`WebView_SelectTag`                   | HTMLのselectタグとoptionタグ出力
                                           | 入力データ復元
                                           | HTMLエスケープ
:ref:`WebView_RadioButtonsTag`             | 複数のHTMLのinputタグ(type=radio)出力
                                           | 入力データ復元
                                           | HTMLエスケープ
:ref:`WebView_CheckboxesTag`               | 複数のHTMLのinputタグ(type=checkbox)出力
                                           | 入力データ復元
                                           | HTMLエスケープ
:ref:`WebView_SubmitTag`                   | HTMLのinputタグ(type=submit,image,button)出力
                                           | サブミット制御(ボタンとアクションの紐付け、二重サブミット防止)
:ref:`WebView_ButtonTag`                   | HTMLのbuttonタグ出力
                                           | サブミット制御(ボタンとアクションの紐付け、二重サブミット防止)
:ref:`WebView_SubmitLinkTag`               | HTMLのaタグ出力
                                           | サブミット制御(リンクとアクションの紐付け、二重サブミット防止)
:ref:`WebView_PopupSubmitTag`              | HTMLのinputタグ(type=submit,image,button)出力
                                           | 新しいウィンドウをオープンし、オープンしたウィンドウに対してサブミットを行う。
                                           | ユーザの操作性向上のために、複数ウィンドウ立ち上げたい場合に使用する。
:ref:`WebView_PopupButtonTag`              | HTMLのbuttonタグ出力
                                           | 新しいウィンドウをオープンし、オープンしたウィンドウに対してサブミットを行う。
                                           | ユーザの操作性向上のために、複数ウィンドウ立ち上げたい場合に使用する。
:ref:`WebView_PopupLinkTag`                | HTMLのaタグ出力
                                           | 新しいウィンドウをオープンし、オープンしたウィンドウに対してサブミットを行う。
                                           | ユーザの操作性向上のために、複数ウィンドウ立ち上げたい場合に使用する。
:ref:`WebView_DownloadSubmitTag`           | HTMLのinputタグ(type=submit,image,button)出力
                                           | ダウンロード用のサブミットを行う。
:ref:`WebView_DownloadButtonTag`           | HTMLのbuttonタグ出力
                                           | ダウンロード用のサブミットを行う。
:ref:`WebView_DownloadLinkTag`             | HTMLのaタグ出力
                                           | ダウンロード用のサブミットを行う。
:ref:`WebView_ParamTag`                    | サブミット時に追加するパラメータを指定する。
:ref:`WebView_ChangeParamNameTag`          | ポップアップ用のサブミット時にパラメータ名を変更する。
:ref:`WebView_ATag`                        | HTMLのaタグ出力
                                           | コンテキストパスの付加とURLリライト
:ref:`WebView_ImgTag`                      | HTMLのimgタグ出力
                                           | コンテキストパスの付加とURLリライト
:ref:`WebView_LinkTag`                     | HTMLのlinkタグ出力
                                           | コンテキストパスの付加とURLリライト
:ref:`WebView_ScriptTag`                   | HTMLのscriptタグ出力
                                           | コンテキストパスの付加とURLリライト
:ref:`WebView_ErrorsTag`                   | エラーメッセージの複数件表示
                                           | 画面上部に一覧でエラーメッセージを表示する場合に使用する。
:ref:`WebView_ErrorTag`                    | エラーメッセージの表示
                                           | エラーの原因となった入力項目の近くにエラーメッセージを個別に表示する場合に使用する。
:ref:`WebView_NoCacheTag`                  | ブラウザのキャッシュを防止するmetaタグの出力及びレスポンスヘッダの設定
:ref:`WebView_CodeSelectTag`               | コード値の選択表示。selectタグを使用する。
:ref:`WebView_CodeRadioButtonsTag`         | コード値の選択表示。inputタグ(type=radio)を使用する。
:ref:`WebView_CodeCheckboxesTag`           | コード値の選択表示。inputタグ(type=checkbox)を使用する。
:ref:`WebView_CodeCheckboxTag`             | コード値の単一入力項目表示。inputタグ(type=checkbox)を使用する。
:ref:`WebView_CodeTag`                     | 一覧表示や参照画面などで、コード値を出力する。
:ref:`WebView_MessageTag`                  | 言語に応じたメッセージを出力する。
:ref:`WebView_WriteTag`                    | 一覧表示や参照画面などで、オブジェクトから値を出力する。
:ref:`WebView_PrettyPrintTag`              | 修飾系のHTML(<b>タグなど) をエスケープせずに、オブジェクトの値を出力する。
:ref:`WebView_RawWriteTag`                 | HTMLエスケープをせずにオブジェクトの値を直接出力する。
:ref:`WebView_SetTag`                      | リクエストスコープの変数に値を設定する。
:ref:`WebView_IncludeTag`                  | インクルード先のパスを言語対応のパスに変換してからインクルードを行う。
:ref:`WebView_IncludeParamTag`             | インクルード時に追加するパラメータを指定する。
:ref:`WebView_ConfirmationPageTag`         | JSPが確認画面であることを示す。
                                           | このタグに入力画面へのパスを指定することで、入力画面と確認画面を共通化する。
:ref:`WebView_IgnoreConfirmationTag`       | JSPの画面状態が確認画面である場合に、部分的に確認画面の画面状態を無効化する。
                                           | このタグにより囲まれた範囲にある入力項目のカスタムタグは、常に入力画面用の出力を行う。
:ref:`WebView_ForInputPageTag`             | 入力画面と確認画面を共通化したJSPにおいて、入力画面のみこのタグのボディを評価する。
:ref:`WebView_ForConfirmationPageTag`      | 入力画面と確認画面を共通化したJSPにおいて、確認画面のみこのタグのボディを評価する。
========================================== ==========================================================================================

共通属性
========================
各カスタムタグの定義でここで定義した共通属性を参照する。

.. _WebView_GenericAttributesTag:

全てのHTMLタグ
-------------------------

============================= ==========================================================================================
属性                          | 説明
============================= ==========================================================================================
id                            | XHTMLのid属性。
cssClass                      | XHTMLのclass属性。
style                         | XHTMLのstyle属性。
title                         | XHTMLのtitle属性。
lang                          | XHTMLのlang属性。
xmlLang                       | XHTMLのxml:lang属性。
dir                           | XHTMLのdir属性。
onclick                       | XHTMLのonclick属性。
ondblclick                    | XHTMLのondblclick属性。
onmousedown                   | XHTMLのonmousedown属性。
onmouseup                     | XHTMLのonmouseup属性。
onmouseover                   | XHTMLのonmouseover属性。
onmousemove                   | XHTMLのonmousemove属性。
onmouseout                    | XHTMLのonmouseout属性。
onkeypress                    | XHTMLのonkeypress属性。
onkeydown                     | XHTMLのonkeydown属性。
onkeyup                       | XHTMLのonkeyup属性。
============================= ==========================================================================================

.. _WebView_FocusAttributesTag:

フォーカスを取得可能なHTMLタグ
--------------------------------------------------

============================= ==========================================================================================
属性                          | 説明
============================= ==========================================================================================
accesskey                     | XHTMLのaccesskey属性。
tabindex                      | XHTMLのtabindex属性。
onfocus                       | XHTMLのonfocus属性。
onblur                        | XHTMLのonblur属性。
============================= ==========================================================================================

個別属性
======================================================

.. _WebView_FormTag:

formタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
name                                   | XHTMLのname属性。
action                                 | XHTMLのaction属性。
method                                 | XHTMLのmethod属性。
                                       | デフォルトはpost。
enctype                                | XHTMLのenctype属性。
onsubmit                               | XHTMLのonsubmit属性。
onreset                                | XHTMLのonreset属性。
accept                                 | XHTMLのaccept属性。
acceptCharset                          | XHTMLのaccept-charset属性。
target                                 | XHTMLのtarget属性。
autocomplete                           | HTML5のautocomplete属性。
windowScopePrefixes                    | ウィンドウスコープ変数のプレフィックス。
                                       | 複数指定する場合はカンマ区切り。
                                       | 指定されたプレフィックスがマッチするリクエストパラメータをhiddenタグとして出力する。
useToken                               | トークンを設定するか否か。
                                       | トークンを設定する場合はtrue、設定しない場合はfalse。
                                       | デフォルトはfalse。
                                       | confirmationPageタグが指定された場合は、デフォルトがtrueとなる。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
====================================== ==========================================================================================

.. _WebView_TextTag:

textタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
disabled                               | XHTMLのdisabled属性。
readonly                               | XHTMLのreadonly属性。
size                                   | XHTMLのsize属性。
maxlength                              | XHTMLのmaxlength属性。
onselect                               | XHTMLのonselect属性。
onchange                               | XHTMLのonchange属性。
autocomplete                           | HTML5のautocomplete属性。
autofocus                              | HTML5のautofocus属性。
placeholder                            | HTML5のplaceholder属性。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
valueFormat                            | 出力時のフォーマット。
                                       | 
                                       | フォーマットは、"データタイプ{パターン}"形式で指定する。
                                       | フレームワークがデフォルトでサポートしているフォーマットを下記に示す。
                                       | 
                                       | yyyymmdd:
                                       
                                        | 年月日のフォーマット。
                                        | 値はyyyyMMdd形式またはパターン形式の文字列を指定する。
                                        | パターンにはjava.text.SimpleDateFormatが規定している構文を指定する。
                                        | **パターン文字には、y(年)、M(月)、d(月における日)のみ指定可能。**
                                        |  :ref:`WebView_CustomTagConfig` を使用してパターンのデフォルト値を設定することができる。
                                        | valueFormat属性の指定例を下記に示す。
                                       
                                        .. code-block:: bash
                                        
                                         # デフォルトのパターンを使用する場合。
                                         valueFormat="yyyymmdd"
                                         
                                         # パターンを指定する場合。
                                         valueFormat="yyyymmdd{yyyy/MM/dd}"
                                       
                                        .. note::
                                        
                                         textタグのvalueFormat属性を指定した場合、\
                                         入力画面にもフォーマットした値が出力される。\
                                         入力された年月日をアクションで取得する場合は\
                                         :ref:`ExtendedValidation_yyyymmddConvertor` を使用する。\
                                         textタグとコンバータが連携し、\
                                         valueFormat属性に指定されたパターンを使用した値変換と入力精査を行う。

                                       | yyyymm:
                                       
                                        | 年月のフォーマット。
                                        | 値はyyyyMM形式またはパターン形式の文字列を指定する。使用方法は、yyyymmddと同様。

                                        .. note::
                                        
                                         yyyyMMの場合、コンバータには、\
                                         :ref:`ExtendedValidation_yyyymmConvertor` を使用する。\
                                        
                                       | decimal:
                                       
                                        | 10進数のフォーマット。
                                        | 値はjava.lang.Number型又は数字の文字列を指定する。
                                        | 文字列の場合、言語に対応する1000の区切り文字を取り除いた後でフォーマットされる。
                                        | パターンにはjava.text.DecimalFormatが規定している構文を指定する。
                                        | ThreadContextに設定された言語が使用して、言語に応じた形式で値が出力される。
                                        | 区切り文字"|"を使用してパターンに直接言語を指定することができる。
                                        | 言語はパターンの末尾に付加する。
                                        |  :ref:`WebView_CustomTagConfig` を使用して、区切り文字"|"の変更を行うことができる。
                                        | valueFormat属性の指定例を下記に示す。
                                       
                                        .. code-block:: bash
                                        
                                         # ThreadContextに設定された言語を使用し、パターンのみ指定する場合。
                                         valueFormat="decimal{###,###,###.000}"
                                         
                                         # パターンと言語を指定する場合。
                                         valueFormat="decimal{###,###,###.000|ja}"
                                       
                                        .. note::
                                        
                                         textタグのvalueFormat属性を指定した場合、\
                                         入力画面にもフォーマットした値が出力される。\
                                         入力された数値をアクションで取得する場合は\
                                         :ref:`数値コンバータ(BigDecimalConvertor、IntegerConvertor、LongConvertor)<validator_and_convertor>` を使用する。
                                         textタグと数値コンバータが連携し、\
                                         valueFormat属性に指定された言語に対応する値変換と入力精査を行う。
                                       
====================================== ==========================================================================================

.. _WebView_TextareaTag:

textareaタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
rows(必須)                             | XHTMLのrows属性。
cols(必須)                             | XHTMLのcols属性。
disabled                               | XHTMLのdisabled属性。
readonly                               | XHTMLのreadonly属性。
onselect                               | XHTMLのonselect属性。
onchange                               | XHTMLのonchange属性。
autofocus                              | HTML5のautofocus属性。
placeholder                            | HTML5のplaceholder属性。
maxlength                              | HTML5のmaxlength属性。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_PasswordTag:

passwordタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
disabled                               | XHTMLのdisabled属性。
readonly                               | XHTMLのreadonly属性。
size                                   | XHTMLのsize属性。
maxlength                              | XHTMLのmaxlength属性。
onselect                               | XHTMLのonselect属性。
onchange                               | XHTMLのonchange属性。
autocomplete                           | HTML5のautocomplete属性。
autofocus                              | HTML5のautofocus属性。
placeholder                            | HTML5のplaceholder属性。
restoreValue                           | 入力画面の再表示時に入力データを復元するか否か。
                                       | 復元する場合はtrue、復元しない場合はfalse。
                                       | デフォルトはfalse。
replacement                            | 確認画面用の出力時に使用する置換文字。
                                       | デフォルトは'*'。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_RadioButtonTag:

radioButtonタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
value(必須)                            | XHTMLのvalue属性。
label(必須)                            | ラベル。
disabled                               | XHTMLのdisabled属性。
onchange                               | XHTMLのonchange属性。
autofocus                              | HTML5のautofocus属性。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_CheckboxTag:

checkboxタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
value                                  | XHTMLのvalue属性。
                                       | チェックありの場合に使用する値。
                                       | デフォルトは"1"。
autofocus                              | HTML5のautofocus属性。
label                                  | チェックありの場合に使用するラベル。
                                       | 入力画面では、このラベルが表示される。
useOffValue                            | チェックなしの値設定を使用するか否か。
                                       | デフォルトはtrue。
offLabel                               | チェックなしの場合に使用するラベル。
offValue                               | チェックなしの場合に使用する値。
                                       | デフォルトは"0"。
disabled                               | XHTMLのdisabled属性。
onchange                               | XHTMLのonchange属性。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================
 
.. _WebView_CompositeKeyCheckboxTag:

compositeKeyCheckboxタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
valueObject(必須)                      | XHTMLのvalue属性の代わりに使用するオブジェクト。
                                       | keyNames で指定したプロパティを持つ必要がある。
keyNames(必須)                         | 複合キーのキー名。
                                       | キー名をカンマ区切りで指定する。
namePrefix(必須)                       | リクエストパラメータに展開する際に使用するプレフィクス。
autofocus                              | HTML5のautofocus属性。
label                                  | チェックありの場合に使用するラベル。
                                       | 入力画面では、このラベルが表示される。
disabled                               | XHTMLのdisabled属性。
onchange                               | XHTMLのonchange属性。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_CompositeKeyRadioButtonTag:

compositeKeyRadioButtonタグ
---------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
valueObject(必須)                      | XHTMLのvalue属性の代わりに使用するオブジェクト。
                                       | keyNames で指定したプロパティを持つ必要がある。
keyNames(必須)                         | 複合キーのキー名。
                                       | キー名をカンマ区切りで指定する。
namePrefix(必須)                       | リクエストパラメータに展開する際に使用するプレフィクス。
autofocus                              | HTML5のautofocus属性。
label                                  | チェックありの場合に使用するラベル。
                                       | 入力画面では、このラベルが表示される。
disabled                               | XHTMLのdisabled属性。
onchange                               | XHTMLのonchange属性。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_FileTag:

fileタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
disabled                               | XHTMLのdisabled属性。
readonly                               | XHTMLのreadonly属性。
size                                   | XHTMLのsize属性。
maxlength                              | XHTMLのmaxlength属性。
onselect                               | XHTMLのonselect属性。
onchange                               | XHTMLのonchange属性。
accept                                 | XHTMLのaccept属性。
autofocus                              | HTML5のautofocus属性。
multiple                               | HTML5のmultiple属性。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_HiddenTag:

hiddenタグ
-------------------------
HTMLタグの出力を行わず、ウィンドウスコープに値を出力する。

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
disabled                               | XHTMLのdisabled属性。
====================================== ==========================================================================================

.. _WebView_PlainHiddenTag:

plainHiddenタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
disabled                               | XHTMLのdisabled属性。
====================================== ==========================================================================================

.. _WebView_SelectTag:

selectタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
name(必須)                             | XHTMLのname属性。
listName(必須)                         | 選択項目のリストの属性名。
elementLabelProperty(必須)             | リスト要素からラベルを取得するためのプロパティ名。
elementValueProperty(必須)             | リスト要素から値を取得するためのプロパティ名。
size                                   | XHTMLのsize属性。
multiple                               | XHTMLのmultiple属性。
disabled                               | XHTMLのdisabled属性。
tabindex                               | XHTMLのtabindex属性。
onfocus                                | XHTMLのonfocus属性。
onblur                                 | XHTMLのonblur属性。
onchange                               | XHTMLのonchange属性。
autofocus                              | HTML5のautofocus属性。
elementLabelPattern                    | ラベルを整形するためのパターン。
                                       | 
                                       | プレースホルダを下記に示す。
                                       |   $LABEL$: ラベル
                                       |   $VALUE$: 値
                                       | 
                                       | "$VALUE$ - $LABEL$"と指定した場合、ラベル＝グループ1、値＝G001とすると、整形後のラベルは"G001 - グループ1"となる。
                                       | デフォルトは"$LABEL$"。
listFormat                             | リスト表示時に使用するフォーマット。
                                       | 下記のいずれかを指定する。
                                       |   br(brタグ)
                                       |   div(divタグ)
                                       |   span(spanタグ)
                                       |   ul(ulタグ)
                                       |   ol(olタグ)
                                       |   sp(スペース区切り)
                                       | デフォルトはbr。
withNoneOption                         | リスト先頭に選択なしのオプションを追加するか否か。
                                       | 追加する場合はtrue、追加しない場合はfalse。
                                       | デフォルトはfalse。
noneOptionLabel                        | リスト先頭に選択なしのオプションを追加する場合に使用するラベル。
                                       | この属性は、withNoneOptionにtrueを指定した場合のみ有効となる。
                                       | デフォルトは""。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_RadioButtonsTag:

radioButtonsタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | id属性は指定不可。
:ref:`WebView_FocusAttributesTag`      | accesskey属性は指定不可。
name(必須)                             | XHTMLのname属性。
listName(必須)                         | 選択項目のリストの属性名。
elementLabelProperty(必須)             | リスト要素からラベルを取得するためのプロパティ名。
elementValueProperty(必須)             | リスト要素から値を取得するためのプロパティ名。
disabled                               | XHTMLのdisabled属性。
onchange                               | XHTMLのonchange属性。
autofocus                              | HTML5のautofocus属性。
                                       | 選択肢のうち、先頭要素のみautofocus属性を出力する。
elementLabelPattern                    | ラベルを整形するためのパターン。
                                       | 
                                       | プレースホルダを下記に示す。
                                       |   $LABEL$: ラベル
                                       |   $VALUE$: 値
                                       | 
                                       | "$VALUE$ - $LABEL$"と指定した場合、ラベル＝グループ1、値＝G001とすると、整形後のラベルは"G001 - グループ1"となる。
                                       | デフォルトは"$LABEL$"。
listFormat                             | リスト表示時に使用するフォーマット。
                                       | 下記のいずれかを指定する。
                                       |   br(brタグ)
                                       |   div(divタグ)
                                       |   span(spanタグ)
                                       |   ul(ulタグ)
                                       |   ol(olタグ)
                                       |   sp(スペース区切り)
                                       | デフォルトはbr。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_CheckboxesTag:

checkboxesタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | id属性は指定不可。
:ref:`WebView_FocusAttributesTag`      | accesskey属性は指定不可。
name(必須)                             | XHTMLのname属性。
listName(必須)                         | 選択項目のリストの属性名。
elementLabelProperty(必須)             | リスト要素からラベルを取得するためのプロパティ名。
elementValueProperty(必須)             | リスト要素から値を取得するためのプロパティ名。
disabled                               | XHTMLのdisabled属性。
onchange                               | XHTMLのonchange属性。
autofocus                              | HTML5のautofocus属性。
                                       | 選択肢のうち、先頭要素のみautofocus属性を出力する。
elementLabelPattern                    | ラベルを整形するためのパターン。
                                       | 
                                       | プレースホルダを下記に示す。
                                       |   $LABEL$: ラベル
                                       |   $VALUE$: 値
                                       | 
                                       | "$VALUE$ - $LABEL$"と指定した場合、ラベル＝グループ1、値＝G001とすると、整形後のラベルは"G001 - グループ1"となる。
                                       | デフォルトは"$LABEL$"。
listFormat                             | リスト表示時に使用するフォーマット。
                                       | 下記のいずれかを指定する。
                                       |   br(brタグ)
                                       |   div(divタグ)
                                       |   span(spanタグ)
                                       |   ul(ulタグ)
                                       |   ol(olタグ)
                                       |   sp(スペース区切り)
                                       | デフォルトはbr。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_SubmitTag:

submitタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name                                   | XHTMLのname属性。
type(必須)                             | XHTMLのtype属性。
uri(必須)                              | URI。
                                       | :ref:`WebView_SpecifyUri` を参照。
disabled                               | XHTMLのdisabled属性。
value                                  | XHTMLのvalue属性。
src                                    | XHTMLのsrc属性。
alt                                    | XHTMLのalt属性。
usemap                                 | XHTMLのusemap属性。
align                                  | XHTMLのalign属性。
autofocus                              | HTML5のautofocus属性。
allowDoubleSubmission                  | 二重サブミットを許可するか否か。
                                       | 許可する場合はtrue、許可しない場合はfalse。
                                       | デフォルトはtrue。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
displayMethod                          | 認可判定と開閉局判定の結果に応じて表示制御を行う場合の表示方法。
                                       | 下記のいずれかを指定する。
                                       | NODISPLAY (非表示)
                                       | DISABLED (非活性)
                                       | NORMAL (通常表示)
====================================== ==========================================================================================

.. _WebView_ButtonTag:

buttonタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
